"source_type","canonical_id","name","source_document","source_path","checksum_sha256","disposition","registry_state","target_form","home_division","operating_class","functional_domains","capability_codes","skill_ids","required_tools","risk_tier","autonomy_ceiling","integration_ceiling","runtime_compatibility","evidence_status","canonical_registry_path","normalization_note"
"role","CMO-06","Collaboration Coordinator","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","role_definition","DIV-01","control","creative-media-and-brand","AGENT_DESIGN|MEDIA_GENERATION","","TOL-001|TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMA-01","Song Strategy Agent","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMA-02","Lyric Composer AI","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMA-03","Lyric Editor & Originality Reviewer","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","evaluation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMA-04","Hook & Recall Tester","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","evaluation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMA-05","Melody & Harmony Generator","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMA-06","Beat & Rhythm Producer","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMA-07","Instrument & Texture Designer","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMA-08","Production Architect","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMA-09","Vocal Direction & Synthesis Agent","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMA-10","Vocal QA Agent","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","evaluation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMA-11","Mix Engineer AI","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMA-12","Mastering Engineer AI","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMA-13","Remix & Format Variations Agent","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMA-14","Audio QA Agent","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","evaluation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMV-01","Visual Continuity Director","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","control","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMV-02","Cover Art & Poster Designer","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMV-03","Cinematic Storyboarding AI","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMV-04","Character & Environment Generator","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMV-05","Motion & Lip-Sync Test Agent","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMV-06","Music Video Generator","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMV-07","Lyric Video & Visualizer Builder","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMV-08","STATIC Lore Agent","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMV-09","Video Editor & Format Optimizer","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","creation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMV-10","Visual QA Agent","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-06","evaluation","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMK-01","Asset Archivist","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","role_definition","DIV-06","knowledge","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMK-02","Creative Metadata Steward","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","role_definition","DIV-06","control","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMK-03","Rights & Provenance Recorder","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","role_definition","DIV-07","knowledge","creative-media-and-brand","MEDIA_GENERATION","","TOL-002|TOL-003","high","A1","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMR-01","Release Calendar Manager","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-07","control","creative-media-and-brand","RELEASE_PACKAGING","","TOL-001|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMR-02","Release Packager","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-07","delivery_operations","creative-media-and-brand","RELEASE_PACKAGING","","TOL-001|TOL-003","moderate","A2","I2","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMR-03","Metadata & Credits Steward","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-07","control","creative-media-and-brand","RELEASE_PACKAGING","","TOL-001|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMR-04","Rights & Licensing Monitor","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-07","evaluation","creative-media-and-brand","RELEASE_PACKAGING","","TOL-001|TOL-003","high","A1","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMR-05","Platform Optimization Agent","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-07","creation","creative-media-and-brand","RELEASE_PACKAGING","","TOL-001|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMR-06","Playlist & Editorial Pitching Agent","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-07","creation","creative-media-and-brand","RELEASE_PACKAGING","","TOL-001|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMR-07","Global Distribution Coordinator","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-07","control","creative-media-and-brand","RELEASE_PACKAGING","","TOL-001|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMR-08","Royalty & Revenue Tracker","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","recipe_candidate","DIV-07","creation","creative-media-and-brand","RELEASE_PACKAGING","","TOL-001|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
